dataset,model_type,num_samples,mean_Accuracy,std_Accuracy,mean_IoU,std_IoU,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Dice,std_Dice,mean_AUC,std_AUC
vessmap,IN-UNet18,1,0.6511332702636718,0.1549206768979725,0.3576023683301173,0.07885420220153641,0.5861413541684548,0.18739472740978208,0.6608265013992786,0.17997783337262113,0.48558254281679786,0.08248504891255906,0.7811952998994521,0.08692438711024025
vessmap,IN-UNet18,20,0.9229317220052083,0.010347607886027383,0.7131566614905993,0.03675829155571495,0.8634488346179326,0.030091233535511876,0.8110813170174758,0.06121947651821529,0.8220284980535507,0.029491066692711804,0.9652231016437469,0.005487974993939423
vessmap,IN-UNet50,1,0.6667807006835937,0.22367813655786759,0.4028786700963974,0.09002385560766882,0.6271946541468303,0.2254034612503184,0.7115574560190241,0.16868879687135185,0.5343219651281834,0.08654219456892182,0.8408768589759441,0.03932131985843953
vessmap,IN-UNet50,20,0.932007548014323,0.009469313579805877,0.7407012417539954,0.016659600341120007,0.8842967130740483,0.03194526098895269,0.8213071815048655,0.03894870447949909,0.841621456121405,0.014070862887962152,0.9691028507519356,0.0033910201775548938
vessmap,LiteMedSAM-FT,1,0.754636942545573,0.21335164235817664,0.45868890026584264,0.1258349729971493,0.6905199741323789,0.21446377668036032,0.6719374212281157,0.168473301287887,0.5811718605334559,0.11746539115938032,0.833197286744132,0.13197954864357017
vessmap,LiteMedSAM-FT,20,0.9526398722330729,0.0028318521201432384,0.8184120346109072,0.00795401610785117,0.8845085507631302,0.018815030683852034,0.9180595999956132,0.014258801685963685,0.8953433562318484,0.006437181617202661,0.9857717988878558,0.001913085106967488
vessmap,UNet18,1,0.6325628427358775,0.19915373633155914,0.3617810795155282,0.06254617727395764,0.591546444222331,0.1908151241070726,0.7019831538272019,0.16646952171031393,0.4914537199844534,0.05990388805006856,0.8039181653574323,0.09594971466004508
vessmap,UNet18,20,0.9158156077067058,0.011095972494075776,0.720393237285316,0.029374786399075273,0.8126405488699674,0.026775823367767623,0.8698068529988329,0.059887337997321044,0.8304101416220268,0.02352891583537192,0.9703269969515175,0.00539804836177985
vessmap,UNet50,1,0.5938798757699819,0.21556763795027192,0.34788832990452645,0.06793754198556265,0.5543321903221883,0.20246531047013047,0.7283289612414172,0.17574050118980641,0.48036130814311595,0.06544155977782612,0.7815802858445926,0.07766054205432994
vessmap,UNet50,20,0.8793580191476005,0.020493480248815667,0.5947705366781779,0.05073361953543941,0.8432238790605749,0.03899831077774632,0.7011320388210672,0.0685041227242013,0.7257592096924782,0.043843963609299756,0.925840733310215,0.016987759521882997
vessmap,VSUNet18,1,0.6950900777180989,0.24557757371125868,0.4661644088562268,0.1281660037589806,0.6169909049818914,0.22523029642064843,0.7854733018227853,0.1278773524038602,0.5974600773335744,0.12441554583833749,0.8586623912346993,0.12624139132702472
vessmap,VSUNet18,20,0.9298136901855469,0.012044573082700065,0.7615069016814232,0.02033207816160062,0.8605026313662528,0.0406749201179236,0.8733278526862462,0.05198727530794487,0.8574034200112025,0.014607789227339327,0.9732930761799712,0.0034547998819395276
vessmap,VSUNet50,1,0.6922026062011718,0.24348595868764475,0.4542769833017761,0.11837736342125574,0.6319334323207537,0.22835189287227192,0.7607356279576197,0.14787223582919964,0.5838161342094341,0.11436917814365596,0.8512981024935476,0.11112264980901347
vessmap,VSUNet50,20,0.9283923012869699,0.011691188931001587,0.7404961917815464,0.017884343328099222,0.8760761631386621,0.026680340417266496,0.8325852839010103,0.028076927144118396,0.8431938109121153,0.014169053291456936,0.9690338946632515,0.006350333810745288
vessmap,Zero-Shot IN-UNet18,0,0.7274688720703125,,0.05505260117352,,0.2309825405478477,,0.0783309245482087,,0.1027231428772211,,0.4631966698738529,
